Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,Position,Height,Weight
Coutinho,26,Brazil,88,FC Barcelona,€69.5M,€340K,Right,LW,5.8,150
P. Aubameyang,29,Gabon,88,Arsenal,€59M,€265K,Right,LM,6.2,176
M. Hummels,29,Germany,88,FC Bayern München,€46M,€160K,Right,LCB,6.3,203
Marcelo,30,Brazil,88,Real Madrid,€43M,€285K,Left,LB,5.9,176
G. Bale,28,Wales,88,Real Madrid,€60M,€355K,Left,ST,6.1,181
H. Lloris,31,France,88,Tottenham Hotspur,€36M,€150K,Left,GK,6.2,181
G. Higuaín,30,Argentina,88,Milan,€57M,€245K,Right,LS,6.1,196
Thiago Silva,33,Brazil,88,Paris Saint-Germain,€24M,€165K,Right,RCB,6.0,181
S. Handanovič,33,Slovenia,88,Inter,€30M,€110K,Right,GK,6.4,203
G. Buffon,40,Italy,88,Paris Saint-Germain,€4M,€77K,Right,GK,6.4,203
S. Umtiti,24,France,87,FC Barcelona,€57M,€205K,Left,CB,6.0,165
M. Icardi,25,Argentina,87,Inter,€64.5M,€130K,Right,ST,5.97,165
K. Koulibaly,27,Senegal,87,Napoli,€51M,€115K,Right,LCB,6.2,196
P. Pogba,25,France,87,Manchester United,€64M,€210K,Right,RDM,6.4,185
K. Navas,31,Costa Rica,87,Real Madrid,€30.5M,€195K,Right,GK,6.1,176
R. Lukaku,25,Belgium,87,Manchester United,€62.5M,€230K,Left,ST,6.3,207
C. Immobile,28,Italy,87,Lazio,€52M,€115K,Right,ST,6.1,187
Jordi Alba,29,Spain,87,FC Barcelona,€38M,€250K,Left,LB,5.7,150
D. Mertens,31,Belgium,87,Napoli,€45M,€135K,Right,RF,5.7,134
J. Vertonghen,31,Belgium,87,Tottenham Hotspur,€34M,€155K,Left,LCB,6.2,190
M. Hamšík,30,Slovakia,87,Napoli,€46.5M,€125K,Right,LCM,6.0,174
I. Rakitić,30,Croatia,87,FC Barcelona,€46.5M,€260K,Right,RCM,6.0,172
Piqué,31,Spain,87,FC Barcelona,€34M,€240K,Right,RCB,6.4,187
L. Sané,22,Germany,86,Manchester City,€61M,€195K,Left,LW,6.0,165
Bernardo Silva,23,Portugal,86,Manchester City,€59.5M,€180K,Left,RW,5.8,141
Ederson,24,Brazil,86,Manchester City,€41.5M,€125K,Left,GK,6.2,190
S. Mané,26,Senegal,86,Liverpool,€52M,€195K,Right,LM,5.9,152
V. van Dijk,26,Netherlands,86,Liverpool,€44.5M,€165K,Right,LCB,6.4,203
R. Sterling,23,England,86,Manchester City,€56.5M,€195K,Right,RW,5.7,152
Roberto Firmino,26,Brazil,86,Liverpool,€53M,€195K,Right,CAM,5.97,168
R. Varane,25,France,86,Real Madrid,€50M,€210K,Right,RCB,6.3,179
M. Verratti,25,Italy,86,Paris Saint-Germain,€55M,€135K,Right,LCM,5.5,132
Alex Sandro,27,Brazil,86,Juventus,€36.5M,€160K,Left,LB,5.97,176
Douglas Costa,27,Brazil,86,Juventus,€46.5M,€175K,Left,LM,5.8,154
T. Müller,28,Germany,86,FC Bayern München,€45M,€135K,Right,CAM,6.1,165
Thiago,27,Spain,86,FC Bayern München,€45.5M,€130K,Right,CM,5.9,154
M. Reus,29,Germany,86,Borussia Dortmund,€43.5M,€100K,Right,LM,5.97,157
Azpilicueta,28,Spain,86,Chelsea,€35M,€175K,Right,RB,5.93,168
L. Bonucci,31,Italy,86,Juventus,€30M,€160K,Right,RCB,6.3,187
T. Alderweireld,29,Belgium,86,Tottenham Hotspur,€39M,€150K,Right,RCB,6.1,179
M. Pjanić,28,Bosnia Herzegovina,86,Juventus,€44M,€180K,Right,CDM,5.93,159
M. Benatia,31,Morocco,86,Juventus,€30M,€160K,Right,CB,6.2,207
M. Özil,29,Germany,86,Arsenal,€43.5M,€190K,Left,CAM,5.97,168
Fernandinho,33,Brazil,86,Manchester City,€18M,€185K,Right,CDM,5.93,148
Iniesta,34,Spain,86,Vissel Kobe,€21.5M,€21K,Right,LF,5.7,150
M. Škriniar,23,Slovakia,85,Inter,€46.5M,€82K,Right,LCB,6.2,176
S. Milinković-Savić,23,Serbia,85,Lazio,€50.5M,€73K,Right,CM,6.3,168
Marco Asensio,22,Spain,85,Real Madrid,€54M,€215K,Left,RW,6.0,168
N. Fekir,24,France,85,Olympique Lyonnais,€50M,€92K,Left,CAM,5.8,165
Alisson,25,Brazil,85,Liverpool,€36.5M,€115K,Right,GK,6.3,201
J. Kimmich,23,Germany,85,FC Bayern München,€40.5M,€92K,Right,RCM,5.9,154
Saúl,23,Spain,85,Atlético Madrid,€50.5M,€77K,Left,RCM,6.0,170
R. Mahrez,27,Algeria,85,Manchester City,€40.5M,€205K,Left,RW,5.93,148
D. Alaba,26,Austria,85,FC Bayern München,€38M,€110K,Left,LB,5.97,168
Koke,26,Spain,85,Atlético Madrid,€45M,€88K,Right,LM,5.9,163
A. Lacazette,27,France,85,Arsenal,€45M,€180K,Right,ST,5.9,161
K. Manolas,27,Greece,85,Roma,€37.5M,€96K,Right,LCB,6.2,183
N. Otamendi,30,Argentina,85,Manchester City,€28.5M,€170K,Right,CB,6.0,179
Parejo,29,Spain,85,Valencia CF,€37M,€66K,Right,RCM,6.0,163
Paulinho,29,Brazil,85,Guangzhou Evergrande Taobao FC,€37M,€235K,Right,LDM,6.0,157
W. Szczęsny,28,Poland,85,Juventus,€32M,€125K,Right,GK,6.5,198
A. Sánchez,29,Chile,85,Manchester United,€37.5M,€215K,Right,RW,5.7,163
Y. Brahimi,28,Algeria,85,FC Porto,€39M,€28K,Right,LM,5.9,146
J. Boateng,29,Germany,85,FC Bayern München,€30M,€115K,Right,RCB,6.4,198
A. Vidal,31,Chile,85,FC Barcelona,€26M,€205K,Right,CAM,5.97,165
I. Perišić,29,Croatia,85,Inter,€37.5M,€110K,Right,LM,6.1,176
E. Džeko,32,Bosnia Herzegovina,85,Roma,€30.5M,€115K,Right,ST,6.4,185
S. Khedira,31,Germany,85,Juventus,€33M,€160K,Right,RCM,6.2,198
Diego Costa,29,Spain,85,Atlético Madrid,€38.5M,€100K,Right,LS,6.2,190
R. Nainggolan,30,Belgium,85,Inter,€35.5M,€105K,Right,CAM,5.9,170
Naldo,35,Brazil,85,FC Schalke 04,€9M,€38K,Right,CB,6.6,201
B. Matuidi,31,France,85,Juventus,€26M,€145K,Left,LM,5.97,165
Miranda,33,Brazil,85,Inter,€15.5M,€96K,Right,CB,6.1,172
K. Benzema,30,France,85,Real Madrid,€37M,€240K,Right,ST,6.1,179
Filipe Luís,32,Brazil,85,Atlético Madrid,€21.5M,€81K,Left,LB,6.0,163
V. Kompany,32,Belgium,85,Manchester City,€22M,€170K,Right,CB,6.3,187
Pepe,35,Portugal,85,Beşiktaş JK,€9M,€57K,Right,RCB,6.2,179
Z. Ibrahimović,36,Sweden,85,LA Galaxy,€14M,€15K,Right,RS,6.5,209
D. Sánchez,22,Colombia,84,Tottenham Hotspur,€34M,€105K,Right,RCB,6.2,174
J. Giménez,23,Uruguay,84,Atlético Madrid,€34M,€63K,Right,RCB,6.1,176
Alex Telles,25,Brazil,84,FC Porto,€32M,€22K,Left,LB,5.97,157
A. Laporte,24,France,84,Manchester City,€34M,€135K,Left,LCB,6.2,187
Bruno Fernandes,23,Portugal,84,Sporting CP,€40.5M,€22K,Right,LCM,5.93,152
N. Süle,22,Germany,84,FC Bayern München,€36.5M,€84K,Right,CB,6.5,214
A. Martial,22,France,84,Manchester United,€42.5M,€165K,Right,LW,6.0,168
D. Alli,22,England,84,Tottenham Hotspur,€42.5M,€115K,Right,LCM,6.2,176
Fabinho,24,Brazil,84,Liverpool,€34M,€120K,Right,CDM,6.2,172
Marquinhos,24,Brazil,84,Paris Saint-Germain,€35.5M,€90K,Right,LDM,6.0,165
William Carvalho,26,Portugal,84,Real Betis,€31.5M,€38K,Right,CDM,6.2,183
Jorginho,26,Italy,84,Chelsea,€38M,€155K,Right,CM,5.97,148
F. Thauvin,25,France,84,Olympique de Marseille,€39M,€72K,Left,RM,5.93,154
Carvajal,26,Spain,84,Real Madrid,€31.5M,€185K,Right,RB,5.8,161
M. Depay,24,Netherlands,84,Olympique Lyonnais,€42M,€93K,Right,ST,5.9,172
H. Son,25,Korea Republic,84,Tottenham Hotspur,€37M,€125K,Right,LM,6.0,143
A. Lopes,27,Portugal,84,Olympique Lyonnais,€25M,€72K,Left,GK,6.0,179
S. de Vrij,26,Netherlands,84,Inter,€31.5M,€88K,Right,CB,6.2,172
M. Perin,25,Italy,84,Juventus,€29.5M,€105K,Right,GK,6.2,170
J. Cuadrado,30,Colombia,84,Juventus,€29.5M,€150K,Right,RAM,5.93,159
Iago Aspas,30,Spain,84,RC Celta,€30M,€45K,Left,ST,5.9,148
B. Leno,26,Germany,84,Arsenal,€27M,€115K,Right,GK,6.3,183
N. Matić,29,Serbia,84,Manchester United,€24M,€165K,Left,CDM,6.4,187
L. Hrádecký,28,Finland,84,Bayer 04 Leverkusen,€22M,€74K,Right,GK,6.4,187
Illarramendi,28,Spain,84,Real Sociedad,€31M,€51K,Right,RDM,5.93,165
K. Walker,28,England,84,Manchester City,€24.5M,€165K,Right,RB,6.0,154
I. Gündoğan,27,Germany,84,Manchester City,€32M,€175K,Right,CM,5.97,176
José Callejón,31,Spain,84,Napoli,€27.5M,€105K,Right,RM,5.93,161
A. Di María,30,Argentina,84,Paris Saint-Germain,€29.5M,€125K,Left,RM,5.97,152
M. Mandžukić,32,Croatia,84,Juventus,€25M,€160K,Right,ST,6.3,187
Willian,29,Brazil,84,Chelsea,€30.5M,€175K,Right,RW,5.9,172
Sergio Asenjo,29,Spain,84,Villarreal CF,€24M,€42K,Right,GK,6.2,192
E. Banega,30,Argentina,84,Sevilla FC,€29M,€31K,Right,CDM,5.9,157
A. Witsel,29,Belgium,84,Borussia Dortmund,€24M,€77K,Right,LCM,6.2,179
D. Payet,31,France,84,Olympique de Marseille,€27.5M,€75K,Right,CAM,5.9,170
Jonas,34,Brazil,84,SL Benfica,€16.5M,€25K,Right,ST,5.97,163
Sokratis,30,Greece,84,Arsenal,€23M,€140K,Right,RCB,6.1,187
S. Ruffier,31,France,84,AS Saint-Étienne,€19M,€41K,Right,GK,6.2,205
Falcao,32,Colombia,84,AS Monaco,€25M,€115K,Right,RS,5.93,159
K. Schmeichel,31,Denmark,84,Leicester City,€19M,€78K,Right,GK,6.2,196
Raúl Albiol,32,Spain,84,Napoli,€18M,€88K,Right,RCB,6.3,181
A. Gómez,30,Argentina,84,Atalanta,€30M,€53K,Right,LS,5.5,150
A. Barzagli,37,Italy,84,Juventus,€4.2M,€95K,Right,CB,6.2,192
Quaresma,34,Portugal,84,Beşiktaş JK,€15.5M,€80K,Right,RM,5.9,148
A. Robben,34,Netherlands,84,FC Bayern München,€15.5M,€110K,Left,RM,5.97,176
O. Dembélé,21,France,83,FC Barcelona,€40M,€155K,Left,RW,5.93,148
Gabriel Jesus,21,Brazil,83,Manchester City,€41M,€130K,Right,ST,5.9,161
Ronaldo Cabrais,26,Brazil,83,Grêmio,€28M,€51K,Right,RW,5.93,165
Josué Chiamulera,26,Brazil,83,Grêmio,€22.5M,€43K,Right,LCB,6.1,176
Louri Beretta,26,Brazil,83,Atlético Mineiro,€28.5M,€60K,Right,ST,6.2,183
P. Kimpembe,22,France,83,Paris Saint-Germain,€30.5M,€82K,Left,LCB,6.2,176
N. Keïta,23,Guinea,83,Liverpool,€34M,€120K,Right,CM,5.8,141
C. Tolisso,23,France,83,FC Bayern München,€34M,€85K,Right,CM,5.97,179
T. Lemar,22,France,83,Atlético Madrid,€35.5M,€64K,Left,LM,5.7,137
K. Coman,22,France,83,FC Bayern München,€34M,€85K,Right,LM,5.93,157
J. Tah,22,Germany,83,Bayer 04 Leverkusen,€29.5M,€67K,Right,CB,6.5,214
Anderson Talisca,24,Brazil,83,Guangzhou Evergrande Taobao FC,€36.5M,€18K,Left,CAM,6.3,176
T. Werner,22,Germany,83,RB Leipzig,€34.5M,€70K,Right,RW,5.97,165
A. Rabiot,23,France,83,Paris Saint-Germain,€33M,€91K,Left,CM,6.4,176
L. Goretzka,23,Germany,83,FC Bayern München,€34M,€85K,Right,CM,6.2,174
Q. Promes,26,Netherlands,83,Sevilla FC,€30.5M,€28K,Right,RM,5.9,159
H. Ziyech,25,Morocco,83,Ajax,€32.5M,€28K,Left,RAM,5.97,143
Lucas Vázquez,27,Spain,83,Real Madrid,€27M,€205K,Right,RW,5.8,154
Y. Carrasco,24,Belgium,83,Dalian YiFang FC,€33M,€20K,Right,LM,5.97,161
Gerard Moreno,26,Spain,83,Villarreal CF,€32M,€53K,Left,LS,5.97,170
Felipe,29,Brazil,83,FC Porto,€20M,€22K,Right,RCB,6.3,190
M. Kovačić,24,Croatia,83,Chelsea,€35M,€165K,Right,LCM,5.9,172
Kepa,23,Spain,83,Chelsea,€28.5M,€84K,Right,GK,6.1,187
Manu Trigueros,26,Spain,83,Villarreal CF,€30M,€49K,Right,RCM,5.93,165
S. Gnabry,22,Germany,83,FC Bayern München,€34.5M,€85K,Right,ST,5.9,165
J. Pickford,24,England,83,Everton,€25M,€78K,Left,GK,6.1,170
S. Savić,27,Montenegro,83,Atlético Madrid,€26M,€67K,Right,CB,6.2,174
J. Stones,24,England,83,Manchester City,€28.5M,€125K,Right,RCB,6.2,154
Suso,24,Spain,83,Milan,€33M,€115K,Left,RW,5.9,154
J. Draxler,24,Germany,83,Paris Saint-Germain,€32.5M,€91K,Right,CM,6.2,170
Felipe Anderson,25,Brazil,83,West Ham United,€31.5M,€110K,Right,LM,5.9,154
Lucas Moura,25,Brazil,83,Tottenham Hotspur,€31M,€115K,Right,RM,5.9,154
Danilo Pereira,26,Portugal,83,FC Porto,€27M,€21K,Right,CDM,6.2,183
Nacho Fernández,28,Spain,83,Real Madrid,€24.5M,€180K,Right,CB,5.97,168
T. Horn,25,Germany,83,1. FC Köln,€24M,€25K,Left,GK,6.4,198
Allan,27,Brazil,83,Napoli,€26.5M,€87K,Right,RCM,5.9,163
F. Acerbi,30,Italy,83,Lazio,€19M,€64K,Left,CB,6.4,194
Sergi Roberto,26,Spain,83,FC Barcelona,€26.5M,€170K,Right,RB,5.93,150
Rodrigo,27,Spain,83,Valencia CF,€30.5M,€57K,Left,ST,6.0,170
Pizzi,28,Portugal,83,SL Benfica,€25.5M,€22K,Right,LCM,5.93,159
K. Kampl,27,Slovenia,83,RB Leipzig,€26.5M,€74K,Right,LCM,5.93,148
Neto,28,Brazil,83,Valencia CF,€21M,€41K,Right,GK,6.3,185
O. Baumann,28,Germany,83,TSG 1899 Hoffenheim,€21M,€42K,Right,GK,6.2,181
I. Gueye,28,Senegal,83,Everton,€21M,€125K,Right,RDM,5.9,146
H. Mkhitaryan,29,Armenia,83,Arsenal,€25.5M,€145K,Right,RM,5.93,165
Marcos Alonso,27,Spain,83,Chelsea,€24M,€130K,Left,LB,6.2,192
D. Subašić,33,Croatia,83,AS Monaco,€13M,€70K,Right,GK,6.3,185
K. Glik,30,Poland,83,AS Monaco,€19M,€86K,Right,RCB,6.3,176
K. Strootman,28,Netherlands,83,Olympique de Marseille,€21M,€66K,Left,CDM,6.1,176
B. Dost,29,Netherlands,83,Sporting CP,€26M,€26K,Right,ST,6.5,196
Oscar,26,Brazil,83,Shanghai SIPG FC,€30.5M,€29K,Right,LCM,5.93,146
M. Balotelli,27,Italy,83,OGC Nice,€27.5M,€55K,Right,LS,6.2,194
Luiz Gustavo,30,Brazil,83,Olympique de Marseille,€19M,€63K,Left,LCB,6.2,172
Giuliano,28,Brazil,83,Al Nassr,€26M,€64K,Right,CAM,5.8,150
David Luiz,31,Brazil,83,Chelsea,€17.5M,€130K,Right,LCB,6.2,190
R. Fährmann,29,Germany,83,FC Schalke 04,€20M,€38K,Right,GK,6.6,216
Juan Mata,30,Spain,83,Manchester United,€24.5M,€160K,Left,RM,5.7,139
Adán,31,Spain,83,Atlético Madrid,€15.5M,€55K,Left,GK,6.3,203
Rui Patrício,30,Portugal,83,Wolverhampton Wanderers,€16.5M,€74K,Left,GK,6.3,185
Y. Sommer,29,Switzerland,83,Borussia Mönchengladbach,€20M,€35K,Right,GK,6.0,174
Javi Martínez,29,Spain,83,FC Bayern München,€20M,€94K,Right,CDM,6.4,190
L. Bender,29,Germany,83,Bayer 04 Leverkusen,€20M,€82K,Right,RB,6.1,179
Lucas Leiva,31,Brazil,83,Lazio,€17.5M,€64K,Right,LDM,5.93,172
S. Mandanda,33,France,83,Olympique de Marseille,€13M,€51K,Right,GK,6.1,181
Cesc Fàbregas,31,Spain,83,Chelsea,€22M,€140K,Right,CM,5.93,170
M. Dembélé,30,Belgium,83,Tottenham Hotspur,€24M,€120K,Left,CM,6.1,181
F. Ribéry,35,France,83,FC Bayern München,€11.5M,€72K,Right,LM,5.7,159
R. Jarstein,33,Norway,83,Hertha BSC,€13M,€33K,Right,GK,6.3,181
D. De Rossi,34,Italy,83,Roma,€8M,€80K,Right,RDM,6.0,183
Pepe Reina,35,Spain,83,Milan,€6M,€56K,Right,GK,6.2,203
J. Pavlenka,26,Czech Republic,82,SV Werder Bremen,€19.5M,€30K,Right,GK,6.5,179
M. de Ligt,18,Netherlands,82,Ajax,€27M,€11K,Right,RCB,6.2,196
Rodri,22,Spain,82,Atlético Madrid,€29M,€59K,Right,CM,6.3,181
Arthur,21,Brazil,82,FC Barcelona,€32.5M,€125K,Right,LCM,5.7,161
G. Donnarumma,19,Italy,82,Milan,€29M,€23K,Right,GK,6.5,198
Rosberto Dourado,30,Brazil,82,Atlético Mineiro,€16.5M,€46K,Right,RCM,5.9,154
Juiano Mestres,34,Brazil,82,Cruzeiro,€6.5M,€39K,Right,RCB,5.97,181
Raphaelito Anjos,30,Brazil,82,Grêmio,€14M,€32K,Right,GK,6.3,187
Gelson Martins,23,Portugal,82,Atlético Madrid,€29.5M,€59K,Right,RM,5.8,159
Gonçalo Guedes,21,Portugal,82,Valencia CF,€29M,€36K,Right,LM,5.93,150
L. Torreira,22,Uruguay,82,Arsenal,€25M,€98K,Right,LCM,5.6,141
Malcom,21,Brazil,82,FC Barcelona,€31.5M,€140K,Left,RW,5.8,163
Pau López,23,Spain,82,Real Betis,€21.5M,€21K,Left,GK,6.2,170
L. Hernández,22,France,82,Atlético Madrid,€25.5M,€53K,Left,LB,6.0,168
C. Lenglet,23,France,82,FC Barcelona,€26M,€135K,Left,LCB,6.1,179
A. Kramarić,27,Croatia,82,TSG 1899 Hoffenheim,€26M,€54K,Right,LCM,5.93,161
A. Robertson,24,Scotland,82,Liverpool,€24.5M,€98K,Left,LB,5.93,141
Dani García,28,Spain,82,Athletic Club de Bilbao,€20M,€33K,Right,RCM,5.97,176
F. Bernardeschi,24,Italy,82,Juventus,€29.5M,€110K,Left,RM,6.1,170
J. Brandt,22,Germany,82,Bayer 04 Leverkusen,€30.5M,€68K,Right,LM,6.1,185
D. Rugani,23,Italy,82,Juventus,€24.5M,€95K,Right,CB,6.3,185
Samu Castillejo,23,Spain,82,Milan,€29M,€94K,Left,RM,6.0,148
João Cancelo,24,Portugal,82,Juventus,€25.5M,€95K,Right,RB,6.0,163
A. Romagnoli,23,Italy,82,Milan,€26.5M,€84K,Left,LCB,6.2,172
T. Partey,25,Ghana,82,Atlético Madrid,€25.5M,€59K,Right,CDM,6.1,170
Fred,25,Brazil,82,Manchester United,€26.5M,€140K,Left,CM,5.7,141
J. Vardy,31,England,82,Leicester City,€20M,€96K,Right,ST,5.93,163
A. Belotti,24,Italy,82,Torino,€30M,€58K,Right,LS,5.97,159
E. Forsberg,26,Sweden,82,RB Leipzig,€26M,€67K,Right,LM,5.93,163
J. Lingard,25,England,82,Manchester United,€26.5M,€140K,Right,CAM,5.9,137
F. Vázquez,29,Argentina,82,Sevilla FC,€21.5M,€27K,Left,LCM,6.1,181
E. Višća,28,Bosnia Herzegovina,82,Medipol Başakşehir FK,€22.5M,€40K,Right,RM,5.8,139
A. Rüdiger,25,Germany,82,Chelsea,€22.5M,€110K,Right,CB,6.3,187
A. Florenzi,27,Italy,82,Roma,€20.5M,€73K,Right,RB,5.8,148
H. Maguire,25,England,82,Leicester City,€23.5M,€77K,Right,LCB,6.4,220
T. Meunier,26,Belgium,82,Paris Saint-Germain,€21M,€87K,Right,RM,6.3,198
S. Sané,27,Senegal,82,FC Schalke 04,€18.5M,€41K,Right,CB,6.5,187
G. Kondogbia,25,Central African Rep.,82,Valencia CF,€27.5M,€46K,Left,CM,6.2,176
Rafinha,25,Brazil,82,FC Barcelona,€29.5M,€165K,Left,CAM,5.9,157
Gabriel Paulista,27,Brazil,82,Valencia CF,€21M,€44K,Right,LCB,6.2,174
Morata,25,Spain,82,Chelsea,€28.5M,€135K,Right,ST,6.2,187
J. Cillessen,29,Netherlands,82,FC Barcelona,€18M,€135K,Right,GK,6.1,183
W. Ben Yedder,27,France,82,Sevilla FC,€23.5M,€28K,Right,RS,5.7,150
C. Bakambu,27,DR Congo,82,Beijing Sinobo Guoan FC,€26M,€33K,Right,ST,6.0,161
Pablo Sarabia,26,Spain,82,Sevilla FC,€26M,€26K,Left,RCM,5.9,154
W. Zaha,25,Ivory Coast,82,Crystal Palace,€28.5M,€78K,Right,LS,5.97,146
Luis Alberto,25,Spain,82,Lazio,€28.5M,€67K,Right,CF,6.0,163
Jonathan Viera,28,Spain,82,Beijing Sinobo Guoan FC,€22.5M,€31K,Right,LF,5.7,141
Bartra,27,Spain,82,Real Betis,€21M,€32K,Right,CB,6.0,161
S. Coates,27,Uruguay,82,Sporting CP,€21M,€19K,Right,RCB,6.5,203
Willian José,26,Brazil,82,Real Sociedad,€26.5M,€44K,Right,ST,6.2,205
Mário Fernandes,27,Russia,82,PFC CSKA Moscow,€18.5M,€1K,Right,RB,6.2,176
Víctor Ruiz,29,Spain,82,Villarreal CF,€19.5M,€43K,Left,LCB,6.1,172
T. Delaney,26,Denmark,82,Borussia Dortmund,€21.5M,€61K,Left,LCM,6.0,174
K. Casteels,26,Belgium,82,VfL Wolfsburg,€19.5M,€46K,Left,GK,6.6,190
M. Götze,26,Germany,82,Borussia Dortmund,€27M,€67K,Right,CM,5.9,165
S. Mustafi,26,Germany,82,Arsenal,€22.5M,€115K,Right,RCB,6.0,181
J. Pastore,29,Argentina,82,Roma,€21.5M,€84K,Right,CAM,6.2,172
Pedro,30,Spain,82,Chelsea,€21M,€140K,Right,RW,5.7,143
G. Bonaventura,28,Italy,82,Milan,€22M,€115K,Right,CM,5.97,165
R. Bürki,27,Switzerland,82,Borussia Dortmund,€18.5M,€50K,Right,GK,6.2,187
Taison,30,Brazil,82,Shakhtar Donetsk,€21M,€1K,Right,LM,5.8,141
S. Nzonzi,29,France,82,Roma,€17M,€77K,Right,CDM,6.5,165
Marlos,30,Ukraine,82,Shakhtar Donetsk,€21M,€1K,Left,RM,5.9,152
A. Ramsey,27,Wales,82,Arsenal,€25M,€130K,Right,CAM,6.0,168
K. Trippier,27,England,82,Tottenham Hotspur,€18.5M,€99K,Right,RB,5.93,159
A. Kolarov,32,Serbia,82,Roma,€12.5M,€73K,Left,LB,6.2,183
G. Sigurðsson,28,Iceland,82,Everton,€22.5M,€125K,Right,CAM,6.1,181
S. Giovinco,31,Italy,82,Toronto FC,€20M,€15K,Right,CF,5.4,134
M. Arnautović,29,Austria,82,West Ham United,€22M,€120K,Right,LS,6.4,183
N. Gaitán,30,Argentina,82,Dalian YiFang FC,€21M,€22K,Left,CAM,5.8,146
J. Henderson,28,England,82,Liverpool,€18M,€125K,Right,RCM,6.0,176
M. Kruse,30,Germany,82,SV Werder Bremen,€21.5M,€45K,Left,ST,5.97,168
M. Parolo,33,Italy,82,Lazio,€9M,€59K,Right,RDM,6.0,165
L. Fejsa,29,Serbia,82,SL Benfica,€17M,€18K,Right,CDM,6.0,176
A. Rami,32,France,82,Olympique de Marseille,€12.5M,€57K,Right,RCB,6.3,198
V. Ćorluka,32,Croatia,82,Lokomotiv Moscow,€12.5M,€1K,Right,LCB,6.4,185
G. Wijnaldum,27,Netherlands,82,Liverpool,€23M,€130K,Right,CAM,5.9,152
F. Fazio,31,Argentina,82,Roma,€15M,€73K,Right,LCB,6.5,187
O. Giroud,31,France,82,Chelsea,€20M,€140K,Left,ST,6.4,203
Marcano,31,Spain,82,Roma,€15M,€73K,Left,CB,6.2,170
A. Guardado,31,Mexico,82,Real Betis,€19M,€35K,Left,CM,5.7,148
E. Garay,31,Argentina,82,Valencia CF,€15M,€44K,Right,RCB,6.2,198
Jardel,32,Brazil,82,SL Benfica,€12.5M,€17K,Right,LCB,6.4,192
S. Sirigu,31,Italy,82,Torino,€13.5M,€45K,Right,GK,6.4,176
E. Viviano,32,Italy,82,Sporting CP,€12.5M,€15K,Left,GK,6.5,198
L. Koscielny,32,France,82,Arsenal,€12.5M,€115K,Right,CB,6.1,165
